Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres)
melbourne_botanical_gardens,2015,4,7,0.0
melbourne_botanical_gardens,2015,4,8,6.2
melbourne_botanical_gardens,2015,4,9,0.0
melbourne_botanical_gardens,2015,4,10,0.0
melbourne_botanical_gardens,2015,4,11,0.0
melbourne_botanical_gardens,2015,4,12,0.0
melbourne_botanical_gardens,2015,4,13,0.0
melbourne_botanical_gardens,2015,4,14,1.8
melbourne_botanical_gardens,2015,4,15,0.0
melbourne_botanical_gardens,2015,4,16,3.4
melbourne_botanical_gardens,2015,4,17,0.0
melbourne_botanical_gardens,2015,4,18,7.0
melbourne_botanical_gardens,2015,4,19,7.4
melbourne_botanical_gardens,2015,4,20,2.2
melbourne_botanical_gardens,2015,4,21,0.0
melbourne_botanical_gardens,2015,4,22,0.0
melbourne_botanical_gardens,2015,4,23,0.0
melbourne_botanical_gardens,2015,4,24,0.0
melbourne_botanical_gardens,2015,4,25,0.0
melbourne_botanical_gardens,2015,4,26,3.1
melbourne_botanical_gardens,2015,4,27,0.0
melbourne_botanical_gardens,2015,4,28,1.8
melbourne_botanical_gardens,2015,4,29,0.0
melbourne_botanical_gardens,2015,4,30,0.2
melbourne_botanical_gardens,2015,5,1,0.0
melbourne_botanical_gardens,2015,5,2,0.0
melbourne_botanical_gardens,2015,5,3,0.0
melbourne_botanical_gardens,2015,5,4,0.2
melbourne_botanical_gardens,2015,5,5,1.4
melbourne_botanical_gardens,2015,5,6,1.6
melbourne_botanical_gardens,2015,5,7,2.6
melbourne_botanical_gardens,2015,5,8,0.2
melbourne_botanical_gardens,2015,5,9,0.0
melbourne_botanical_gardens,2015,5,10,10.6
melbourne_botanical_gardens,2015,5,11,2.6
melbourne_botanical_gardens,2015,5,12,0.2
melbourne_botanical_gardens,2015,5,13,6.2
melbourne_botanical_gardens,2015,5,14,4.2
melbourne_botanical_gardens,2015,5,15,2.0
melbourne_botanical_gardens,2015,5,16,0.0
melbourne_botanical_gardens,2015,5,17,0.0
melbourne_botanical_gardens,2015,5,18,0.0
melbourne_botanical_gardens,2015,5,19,0.0
melbourne_botanical_gardens,2015,5,20,3.4
melbourne_botanical_gardens,2015,5,21,7.0
melbourne_botanical_gardens,2015,5,22,0.4
melbourne_botanical_gardens,2015,5,23,0.0
melbourne_botanical_gardens,2015,5,24,0.0
melbourne_botanical_gardens,2015,5,25,0.0
melbourne_botanical_gardens,2015,5,26,0.0
melbourne_botanical_gardens,2015,5,27,0.2
melbourne_botanical_gardens,2015,5,28,0.0
melbourne_botanical_gardens,2015,5,29,0.0
melbourne_botanical_gardens,2015,5,30,0.0
melbourne_botanical_gardens,2015,5,31,0.0
melbourne_botanical_gardens,2015,6,1,7.4
melbourne_botanical_gardens,2015,6,2,4.2
melbourne_botanical_gardens,2015,6,3,0.8
melbourne_botanical_gardens,2015,6,4,0.0
melbourne_botanical_gardens,2015,6,5,4.2
melbourne_botanical_gardens,2015,6,6,0.4
melbourne_botanical_gardens,2015,6,7,0.0
melbourne_botanical_gardens,2015,6,8,0.0
melbourne_botanical_gardens,2015,6,9,0.0
melbourne_botanical_gardens,2015,6,10,0.0
melbourne_botanical_gardens,2015,6,11,0.0
melbourne_botanical_gardens,2015,6,12,0.2
melbourne_botanical_gardens,2015,6,13,0.0
